                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.68189,                0.34191,                 1.0373,                      1,                0.99987,                  0.995,                0.82981,                 0.8088,                  0.296,                 1.0776,                0.00307,                0.00307,                0.00307
                     37,                0.66855,                0.33654,                 1.0277,                0.99983,                      1,                  0.995,                0.82959,                0.80149,                0.29539,                 1.0551,               0.002872,               0.002872,               0.002872
                     38,                0.65999,                0.33286,                 1.0169,                      1,                0.99996,                  0.995,                0.82166,                0.79433,                0.29773,                 1.0555,               0.002674,               0.002674,               0.002674
                     39,                0.65253,                0.33135,                 1.0161,                      1,                0.99995,                  0.995,                0.83396,                0.79392,                0.28883,                 1.0577,               0.002476,               0.002476,               0.002476
                     40,                0.65003,                0.32634,                 1.0108,                0.99983,                      1,                  0.995,                0.83038,                0.79339,                0.28369,                 1.0411,               0.002278,               0.002278,               0.002278
                     41,                0.63624,                0.32257,                 1.0058,                0.99991,                      1,                  0.995,                0.83457,                0.79036,                0.28674,                 1.0574,                0.00208,                0.00208,                0.00208
                     42,                0.62212,                0.31564,                 1.0033,                0.99997,                      1,                  0.995,                0.83487,                0.78889,                 0.2794,                 1.0607,               0.001882,               0.001882,               0.001882
                     43,                0.61873,                0.31367,                0.99529,                0.99985,                      1,                  0.995,                0.83444,                0.78923,                0.27749,                 1.0521,               0.001684,               0.001684,               0.001684
                     44,                0.60877,                0.30342,                0.99062,                0.99978,                      1,                  0.995,                0.83705,                0.79002,                0.27606,                 1.0595,               0.001486,               0.001486,               0.001486
                     45,                0.60079,                0.29875,                0.98701,                0.99973,                      1,                  0.995,                0.84039,                0.78742,                0.27099,                 1.0636,               0.001288,               0.001288,               0.001288
                     46,                0.59255,                0.29258,                0.98006,                0.99988,                      1,                  0.995,                0.83637,                0.78656,                0.27212,                 1.0516,                0.00109,                0.00109,                0.00109
                     47,                0.58069,                0.29107,                 0.9751,                0.99968,                      1,                  0.995,                0.83617,                0.77956,                0.26949,                 1.0343,               0.000892,               0.000892,               0.000892
                     48,                0.57196,                0.28326,                0.97218,                0.99982,                      1,                  0.995,                0.83945,                0.77433,                0.26618,                 1.0436,               0.000694,               0.000694,               0.000694
                     49,                0.56634,                 0.2794,                 0.9731,                 0.9998,                      1,                  0.995,                0.83778,                0.77722,                0.26461,                 1.0445,               0.000496,               0.000496,               0.000496
