                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.74478,                0.38492,                 1.0867,                      1,                0.99991,                  0.995,                0.83305,                0.79905,                0.32461,                  1.091,               0.006535,               0.006535,               0.006535
                     37,                0.73945,                0.38334,                 1.0695,                0.99946,                0.99695,                  0.995,                0.81185,                0.82374,                0.33526,                 1.0978,               0.006436,               0.006436,               0.006436
                     38,                0.73424,                0.38182,                 1.0758,                0.99974,                0.99695,                  0.995,                 0.8148,                0.83186,                 0.3301,                 1.1296,               0.006337,               0.006337,               0.006337
                     39,                0.73321,                0.38529,                 1.0643,                0.99979,                0.99695,                  0.995,                0.79644,                0.83991,                0.33614,                 1.0994,               0.006238,               0.006238,               0.006238
                     40,                0.73315,                0.37962,                 1.0613,                      1,                0.99982,                  0.995,                0.81801,                0.81523,                0.32163,                 1.0897,               0.006139,               0.006139,               0.006139
                     41,                0.73279,                 0.3803,                 1.0625,                0.99983,                      1,                  0.995,                0.80812,                0.82922,                0.31703,                 1.0942,                0.00604,                0.00604,                0.00604
                     42,                0.71593,                0.37204,                 1.0518,                0.99985,                      1,                  0.995,                0.82455,                 0.8207,                0.31201,                 1.0926,               0.005941,               0.005941,               0.005941
                     43,                0.71958,                0.37751,                 1.0582,                0.99994,                      1,                  0.995,                0.82671,                0.81417,                0.30338,                 1.0949,               0.005842,               0.005842,               0.005842
                     44,                0.70806,                0.35896,                 1.0524,                0.99979,                      1,                  0.995,                0.82924,                0.80947,                0.31197,                 1.1001,               0.005743,               0.005743,               0.005743
                     45,                0.70591,                0.36002,                 1.0456,                 0.9998,                      1,                  0.995,                0.80951,                0.83038,                0.30785,                 1.1411,               0.005644,               0.005644,               0.005644
                     46,                0.69676,                0.35659,                 1.0445,                0.99696,                0.99987,                  0.995,                 0.8304,                0.80997,                0.30101,                 1.1103,               0.005545,               0.005545,               0.005545
                     47,                0.68627,                0.35508,                 1.0446,                0.99979,                      1,                  0.995,                0.82702,                0.80889,                0.29706,                 1.1178,               0.005446,               0.005446,               0.005446
