                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1978,                0.54465,                0.94138,                0.97255,                 0.9646,                0.97984,                0.70603,                 1.1075,                0.50882,                0.97974,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.2043,                0.53686,                0.95685,                0.97188,                 0.9646,                0.97687,                0.67438,                 1.1561,                0.51931,                0.98682,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.1836,                0.53204,                0.94822,                0.97248,                 0.9646,                0.96522,                0.68674,                  1.136,                0.51714,                0.98263,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.1621,                0.53362,                0.93325,                0.96395,                0.97345,                0.97477,                0.65743,                 1.2146,                0.55488,                 1.0188,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.1928,                0.55441,                0.95062,                 0.9718,                 0.9646,                0.96718,                0.69385,                 1.0984,                0.52261,                0.98274,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.1565,                0.52516,                0.93853,                0.97198,                0.95575,                0.97059,                0.70223,                 1.1147,                 0.5179,                0.98008,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.1813,                 0.5186,                0.95268,                0.95651,                0.97313,                0.97957,                0.67895,                  1.108,                0.49918,                0.98156,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.1398,                0.51346,                0.93842,                0.96246,                 0.9646,                0.96679,                0.62948,                  1.233,                0.56755,                 1.0245,               0.009604,               0.009604,               0.009604
                     43,                 1.1761,                0.52238,                0.94739,                0.96359,                0.95575,                 0.9768,                0.70418,                 1.1079,                0.50666,                0.97694,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.1591,                 0.5227,                0.93413,                0.96467,                0.97345,                0.96625,                0.65599,                 1.1712,                 0.5113,                0.99633,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.1621,                0.51166,                0.93618,                0.97251,                 0.9646,                0.97182,                0.65766,                 1.1875,                0.51732,                 1.0037,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.1525,                0.50862,                0.94544,                0.97285,                0.97345,                0.97034,                0.67306,                 1.1955,                0.51762,                0.99907,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.1174,                0.50679,                0.93209,                0.96327,                0.95575,                0.95598,                0.66109,                 1.2013,                0.51315,                 1.0127,              0.0095545,              0.0095545,              0.0095545
                     48,                  1.147,                0.51371,                0.93886,                0.96439,                0.97345,                0.96504,                0.67173,                 1.1308,                0.51834,                0.97793,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.1413,                0.50898,                0.93509,                0.97286,                0.97345,                0.96848,                0.70259,                 1.0922,                0.50271,                0.96381,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.1157,                0.50023,                0.93064,                0.97345,                0.97336,                0.97405,                0.68401,                 1.1267,                0.48982,                0.98006,              0.0095248,              0.0095248,              0.0095248
