                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.696,                 1.5329,                  0.973,                 0.0041,                0.02113,                0.00095,                0.00019,                 4.3763,                 7.4842,                 2.3338,             0.00065957,             0.00065957,             0.00065957
                      2,                 1.5988,                0.84828,                0.95767,                0.02855,                 0.0493,                 0.0065,                0.00137,                 3.2135,                 4.6807,                   1.66,                 0.0013,                 0.0013,                 0.0013
                      3,                 1.5536,                0.79019,                0.96203,                0.90235,                0.97609,                0.97086,                0.54727,                 1.3695,                0.76193,                0.89398,               0.001914,               0.001914,               0.001914
                      4,                  1.509,                0.73711,                0.93176,                0.97876,                0.97364,                0.98129,                0.50775,                 1.4572,                0.73044,                0.90181,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4304,                0.68867,                0.92137,                0.93314,                0.98592,                0.94744,                0.47993,                 1.3859,                0.88824,                0.90441,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.4054,                 0.6703,                0.92367,                0.97495,                0.98592,                  0.984,                0.51976,                 1.5121,                0.71845,                0.90285,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.3927,                0.65696,                0.90684,                0.98353,                      1,                0.99275,                0.54446,                 1.5133,                0.69549,                0.91534,               0.001802,               0.001802,               0.001802
                      8,                 1.3597,                0.64538,                0.91323,                0.97078,                0.97887,                0.96786,                0.53174,                 1.3957,                0.68144,                0.89089,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.3731,                0.64821,                0.90752,                0.98494,                0.97887,                0.98703,                0.51636,                 1.5938,                0.72233,                0.91759,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.3127,                0.61889,                 0.9002,                0.96595,                0.92958,                 0.9412,                0.48903,                 1.5462,                0.75884,                0.91802,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.3235,                0.63193,                0.90737,                0.99134,                      1,                0.99479,                0.60999,                 1.3347,                0.62577,                0.87499,              0.0016436,              0.0016436,              0.0016436
