                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0519,                0.50277,                0.84588,                0.99251,                      1,                0.99395,                0.68932,                  1.126,                0.50407,                0.83975,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0588,                0.49135,                0.84878,                0.99245,                      1,                0.99472,                0.69331,                 1.0835,                 0.4846,                0.83184,               0.001307,               0.001307,               0.001307
                     38,                 1.0388,                0.49666,                0.85772,                0.99256,                      1,                0.99458,                0.71137,                 1.1081,                0.49144,                0.84091,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0272,                0.49038,                0.84548,                0.99254,                      1,                  0.995,                0.71459,                 1.0649,                 0.4936,                0.83136,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0104,                0.47886,                0.84277,                0.99253,                      1,                0.99479,                0.71231,                 1.0733,                0.49324,                 0.8352,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0169,                0.47992,                0.85437,                0.99248,                      1,                0.99437,                0.68808,                 1.1464,                0.49574,                0.84621,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0344,                0.48846,                 0.8419,                0.99015,                      1,                0.99444,                0.70992,                  1.078,                0.47383,                0.83651,               0.001208,               0.001208,               0.001208
                     43,                0.99662,                0.46768,                0.84367,                0.99238,                      1,                0.99472,                0.70796,                 1.0601,                0.47771,                0.83027,              0.0011882,              0.0011882,              0.0011882
                     44,                0.97829,                0.46234,                0.83983,                 0.9919,                      1,                0.99451,                0.70179,                 1.1055,                0.46922,                0.83846,              0.0011684,              0.0011684,              0.0011684
                     45,                0.97536,                0.45584,                0.84875,                0.99254,                      1,                0.99451,                0.72886,                 1.0772,                0.46437,                0.83292,              0.0011486,              0.0011486,              0.0011486
                     46,                0.95852,                 0.4578,                0.83745,                0.99249,                      1,                0.99479,                 0.7087,                 1.0943,                0.46554,                0.83444,              0.0011288,              0.0011288,              0.0011288
                     47,                0.94504,                0.45511,                0.83865,                  0.992,                      1,                0.99486,                0.69677,                 1.1427,                0.48805,                0.83952,               0.001109,               0.001109,               0.001109
                     48,                0.94976,                0.44781,                0.84091,                 0.9918,                      1,                0.99472,                0.69563,                 1.1295,                0.47954,                0.84246,              0.0010892,              0.0010892,              0.0010892
                     49,                0.92514,                0.43374,                0.83296,                0.99246,                      1,                0.99367,                0.73535,                 1.0673,                0.46248,                 0.8315,              0.0010694,              0.0010694,              0.0010694
                     50,                0.93416,                0.44571,                0.83488,                0.99243,                      1,                0.99458,                0.72814,                 1.0529,                0.46766,                0.82955,              0.0010496,              0.0010496,              0.0010496
                     51,                0.92065,                  0.449,                0.83019,                0.99131,                      1,                0.99472,                0.70505,                 1.0946,                0.46745,                0.83129,              0.0010298,              0.0010298,              0.0010298
                     52,                0.90609,                0.43945,                0.82995,                0.99249,                      1,                 0.9943,                 0.7323,                 1.0451,                0.45508,                0.83057,                0.00101,                0.00101,                0.00101
                     53,                0.91404,                0.43655,                 0.8298,                0.99198,                      1,                0.99444,                0.69679,                  1.124,                0.45747,                0.83722,              0.0009902,              0.0009902,              0.0009902
                     54,                0.88921,                 0.4267,                0.82458,                0.99185,                      1,                0.99493,                0.71149,                 1.1001,                0.46958,                0.83199,              0.0009704,              0.0009704,              0.0009704
                     55,                0.90128,                0.42972,                0.82874,                0.99235,                      1,                0.99493,                0.72046,                 1.0925,                0.44606,                 0.8369,              0.0009506,              0.0009506,              0.0009506
                     56,                0.87652,                0.41302,                0.82583,                0.99209,                      1,                0.99458,                0.73483,                   1.04,                0.43599,                 0.8268,              0.0009308,              0.0009308,              0.0009308
                     57,                0.86895,                 0.4233,                0.82707,                0.99208,                      1,                  0.995,                0.75128,                0.99374,                0.46066,                0.82006,               0.000911,               0.000911,               0.000911
                     58,                0.85083,                0.41545,                0.82349,                0.99255,                      1,                0.99444,                0.73363,                  1.009,                0.42959,                0.82251,              0.0008912,              0.0008912,              0.0008912
                     59,                0.86613,                0.41078,                0.82433,                0.99106,                      1,                0.99458,                0.73289,                 1.0138,                0.44928,                0.82243,              0.0008714,              0.0008714,              0.0008714
                     60,                0.86373,                0.41068,                0.82147,                0.99247,                      1,                0.99437,                0.73847,                 1.0474,                0.44792,                0.83047,              0.0008516,              0.0008516,              0.0008516
                     61,                0.84127,                0.40788,                0.81986,                0.99218,                      1,                0.99437,                0.71987,                 1.0526,                0.44117,                0.83059,              0.0008318,              0.0008318,              0.0008318
                     62,                0.82605,                0.39922,                0.81702,                0.99236,                      1,                0.99388,                0.71682,                 1.0521,                0.44355,                0.83003,               0.000812,               0.000812,               0.000812
                     63,                0.81789,                0.39842,                0.81932,                0.99245,                      1,                  0.995,                0.71828,                 1.0269,                0.43534,                0.82788,              0.0007922,              0.0007922,              0.0007922
                     64,                0.82583,                0.40023,                0.82233,                0.99237,                      1,                0.99444,                0.75116,                0.99488,                0.42576,                0.81736,              0.0007724,              0.0007724,              0.0007724
                     65,                  0.794,                0.39153,                0.82116,                0.99191,                      1,                0.99472,                0.72727,                  1.038,                0.43951,                0.82565,              0.0007526,              0.0007526,              0.0007526
                     66,                0.80156,                0.39194,                0.81535,                0.99248,                      1,                0.99437,                0.74715,                 1.0036,                0.40936,                0.82587,              0.0007328,              0.0007328,              0.0007328
                     67,                0.79367,                0.39447,                0.81356,                0.99251,                      1,                0.99486,                0.73208,                 1.0485,                0.43164,                0.83156,               0.000713,               0.000713,               0.000713
